name,crate,blocks,edges,stmt_count,treewidth,is_unsafe
"num::imp::bignum::Big32x40::digits",core,2,1,3,1,0
"num::imp::bignum::Big32x40::get_bit",core,5,4,11,1,0
"num::imp::bignum::Big32x40::is_zero",core,4,3,1,1,0
"num::imp::bignum::Big32x40::bit_length",core,13,13,15,2,0
"num::imp::bignum::Big32x40::add",core,16,17,30,2,0
"num::imp::bignum::Big32x40::add_small",core,13,14,28,2,0
"num::imp::bignum::Big32x40::sub",core,14,14,23,2,0
"num::imp::bignum::Big32x40::mul_small",core,13,14,26,2,0
"num::imp::bignum::Big32x40::mul_pow2",core,62,69,87,2,0
"num::imp::bignum::Big32x40::mul_pow5",core,17,18,20,2,0
"num::imp::bignum::Big32x40::mul_digits",core,6,6,17,2,0
"num::imp::bignum::Big32x40::mul_digits::mul_inner",core,30,35,47,3,0
"num::imp::bignum::Big32x40::div_rem_small",core,13,13,17,2,0
"<num::imp::bignum::Big32x40 as cmp::PartialEq>::eq",core,4,3,2,1,0
"<num::imp::bignum::Big32x40 as cmp::PartialOrd>::partial_cmp",core,2,1,1,1,0
"<num::imp::bignum::Big32x40 as cmp::Ord>::cmp",core,11,10,6,1,0
"<num::imp::bignum::Big32x40 as clone::Clone>::clone",core,1,0,3,0,0
"<num::imp::bignum::Big32x40 as fmt::Debug>::fmt",core,30,35,38,3,0
"num::imp::bignum::tests::Big8x3::from_small",core,2,1,6,1,0
"num::imp::bignum::tests::Big8x3::from_u64",core,7,7,15,2,0
"num::imp::bignum::tests::Big8x3::digits",core,2,1,3,1,0
"num::imp::bignum::tests::Big8x3::get_bit",core,5,4,10,1,0
"num::imp::bignum::tests::Big8x3::is_zero",core,4,3,1,1,0
"num::imp::bignum::tests::Big8x3::bit_length",core,13,13,15,2,0
"num::imp::bignum::tests::Big8x3::add",core,16,17,30,2,0
"num::imp::bignum::tests::Big8x3::add_small",core,13,14,28,2,0
"num::imp::bignum::tests::Big8x3::sub",core,14,14,23,2,0
"num::imp::bignum::tests::Big8x3::mul_small",core,13,14,26,2,0
"num::imp::bignum::tests::Big8x3::mul_pow2",core,62,69,87,2,0
"num::imp::bignum::tests::Big8x3::mul_pow5",core,17,18,20,2,0
"num::imp::bignum::tests::Big8x3::mul_digits",core,6,6,17,2,0
"num::imp::bignum::tests::Big8x3::mul_digits::mul_inner",core,30,35,47,3,0
"num::imp::bignum::tests::Big8x3::div_rem_small",core,13,13,17,2,0
"<num::imp::bignum::tests::Big8x3 as cmp::PartialEq>::eq",core,4,3,2,1,0
"<num::imp::bignum::tests::Big8x3 as cmp::PartialOrd>::partial_cmp",core,2,1,1,1,0
"<num::imp::bignum::tests::Big8x3 as cmp::Ord>::cmp",core,11,10,6,1,0
"<num::imp::bignum::tests::Big8x3 as clone::Clone>::clone",core,1,0,3,0,0
"<num::imp::bignum::tests::Big8x3 as fmt::Debug>::fmt",core,30,35,38,3,0
"<[u8] as num::imp::dec2flt::common::ByteSlice>::read_u64",core,4,3,5,1,0
"<[u8] as num::imp::dec2flt::common::ByteSlice>::write_u64",core,4,3,3,1,0
"<[u8] as num::imp::dec2flt::common::ByteSlice>::offset_from",core,2,1,6,1,0
"<[u8] as num::imp::dec2flt::common::ByteSlice>::parse_digits",core,10,11,11,2,0
"num::imp::dec2flt::common::is_8digits",core,3,2,3,1,0
"<num::imp::dec2flt::common::BiasedFp as fmt::Debug>::fmt",core,2,1,8,1,0
"<num::imp::dec2flt::common::BiasedFp as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::dec2flt::common::BiasedFp as cmp::PartialEq>::eq",core,4,4,7,2,0
"<num::imp::dec2flt::common::BiasedFp as cmp::Eq>::assert_fields_are_eq",core,1,0,0,0,0
"<num::imp::dec2flt::common::BiasedFp as default::Default>::default",core,3,2,1,1,0
"num::imp::dec2flt::common::BiasedFp::zero_pow2",core,1,0,1,0,0
"<num::imp::dec2flt::decimal::Decimal as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::dec2flt::decimal::Decimal as fmt::Debug>::fmt",core,2,1,14,1,0
"<num::imp::dec2flt::decimal::Decimal as default::Default>::default",core,5,4,1,1,0
"<num::imp::dec2flt::decimal::Decimal as cmp::PartialEq>::eq",core,6,8,13,2,0
"<num::imp::dec2flt::decimal::Decimal as cmp::Eq>::assert_fields_are_eq",core,1,0,0,0,0
"num::imp::dec2flt::decimal::Decimal::can_use_fast_path",core,6,8,9,2,0
"num::imp::dec2flt::decimal::Decimal::try_fast_path",core,29,34,30,3,0
"<num::imp::dec2flt::decimal_seq::DecimalSeq as clone::Clone>::clone",core,1,0,9,0,0
"<num::imp::dec2flt::decimal_seq::DecimalSeq as fmt::Debug>::fmt",core,2,1,14,1,0
"<num::imp::dec2flt::decimal_seq::DecimalSeq as cmp::PartialEq>::eq",core,6,8,12,2,0
"<num::imp::dec2flt::decimal_seq::DecimalSeq as default::Default>::default",core,1,0,2,0,0
"num::imp::dec2flt::decimal_seq::DecimalSeq::try_add_digit",core,5,5,7,2,0
"num::imp::dec2flt::decimal_seq::DecimalSeq::trim",core,9,10,12,2,0
"num::imp::dec2flt::decimal_seq::DecimalSeq::round",core,34,44,54,2,0
"num::imp::dec2flt::decimal_seq::DecimalSeq::left_shift",core,36,43,66,2,0
"num::imp::dec2flt::decimal_seq::DecimalSeq::right_shift",core,43,51,93,2,0
"num::imp::dec2flt::decimal_seq::parse_decimal_seq",core,72,100,123,3,0
"num::imp::dec2flt::decimal_seq::number_of_digits_decimal_left_shift",core,26,29,43,3,0
